title,Compra,Venta,Fecha,url
Dólar Libre,$200.50,$203.50,Actualizado el 13/05/22 07:01 PM,https://dolarhoy.com/cotizaciondolarblue
Dólar oficial promedio,$116.20,$122.97,Actualizado el 13/05/22 06:56 PM,https://dolarhoy.com/cotizaciondolaroficial
Contado con liqui,$212.94,$213.35,Actualizado el 13/05/22 06:57 PM,https://dolarhoy.com/cotizaciondolarcontadoconliqui
Dólar Bolsa,$210.89,$211.08,Actualizado el 13/05/22 06:57 PM,https://dolarhoy.com/cotizaciondolarbolsa
Dólar Turista,,$159.90,Actualizado el 13/05/22 06:57 PM,https://dolarhoy.com/cotizaciondolarturista
