Nombre,Compra,Venta,Fecha
Dólar blue,$200.00,$203.00,Actualizado el 13/05/22 03:11 PM
Dólar oficial promedio,$116.20,$122.94,Actualizado el 13/05/22 03:11 PM
Dólar Bolsa,$210.08,$210.32,Actualizado el 13/05/22 03:11 PM
Contado con liqui,$211.59,$211.88,Actualizado el 13/05/22 03:11 PM
